2021/06/01,1,6,54849,,1
2021/6/1,1,7,4000,,1
2021/6/1,2,9,10758,,1
2021/6/1,1,10,2280,西山医院1080、中央薬局1200,1
2021/6/5,1,17,25440,振込手数料440,1
2021/6/1,1,19,13220,バーバから合わせて2万円。振込手数料220円,1
2021/6/1,1,21,8942,,1
2021/6/1,1,22,11184,"092-735-3492 134,200 1年間前払い（東芝保険サービス） 福岡銀行",1
2021/6/1,1,23,3515,,1
2021/6/1,2,24,630,0120-300-933 死亡（350万満額）や後遺障害。LifeCard,1
2021/6/6,1,25,1348,NAFCO作業グローブ1180、コーナータップ168,1
2021/6/1,1,27,2500,,1
2021/5/26,2,28,2471,ZEST,1
2021/5/30,2,28,2676,ZEST,1
2021/5/30,2,28,2945,N-ONE,1
2021/6/1,2,31,15770,ZESTコーティング,1
2021/6/1,1,29,1800,"＠10,800円",1
2021/6/1,2,30,10000,,1
2021/5/26,1,31,2170,高速,1
2021/5/31,1,31,2170,高速,1
2021/5/31,1,25,2680,作業着洗剤,1
2021/5/31,1,16,980,サロンパス,1
2021/6/1,2,32,2450,,1
2021/6/1,2,33,1980,,1
2021/6/1,2,34,980,,1
2021/6/1,1,35,17374,340000円 10.22%,1
2021/6/1,1,36,3060,1.80%,1
2021/6/1,1,37,31110,18.3%,1
2021/6/1,1,38,1027,,1
2021/6/1,1,39,6310,,1
2021/6/1,2,40,30998,ポイント2円,1
2021/6/1,2,45,3278,OMC au povo,1
